id,hindi_phrase,hindi_romanized,santali_phrase,category,notes
1,खड़े हो जाओ,khade ho jao,ᱛᱤᱸᱜᱩ ᱯᱮ,instruction,unverified
2,बैठ जाओ,baith jao,ᱫᱩᱵᱩᱱ ᱯᱮ,instruction,unverified
3,अपनी नोटबुक खोलो,apni notebook kholo,ᱟᱢᱟᱜ ᱱᱳᱴᱵᱩᱠ ᱠᱚ ᱮᱛᱦᱚᱵ ᱢᱮ,instruction,unverified
4,अपना हाथ उठाएं,apna hath uthayen,ᱛᱤ ᱛᱩᱞᱮᱯᱮ,instruction,unverified
5,कृपया सभी लोग शांत रहें।,kripya sabhi log shant rahen,ᱫᱚᱭᱟ ᱠᱟᱛᱮ ᱡᱚᱛᱚ ᱦᱚᱲ ᱛᱷᱤᱨ ᱠᱚᱜ ᱯᱮ᱾,instruction,unverified
6,अपनी किताब बंद करो,apni kitab band karo,ᱟᱢᱟᱜ ᱯᱩᱛᱷᱤ ᱵᱚᱸᱫᱚᱭᱢᱮ,instruction,unverified
7,अभी एक दूसरे से बात मत करो।,abhi ek dusre se baat mat karo,ᱱᱤᱛᱚᱜ ᱟᱯᱟᱱ_ᱟᱹᱯᱤᱱ ᱟᱞᱚᱯᱮ ᱜᱟᱞᱢᱟᱨᱟᱣᱟ᱾,instruction,unverified
8,काम खत्म होने पर अपना सामान पैक कर लें।,kaam khatam hone par apna samaan pack kar len,ᱠᱟᱹᱢᱤ ᱪᱟᱵᱟ ᱞᱮᱱᱠᱷᱟᱱ ᱟᱢᱟᱜ ᱥᱟᱢᱟᱱ ᱥᱟᱡᱟᱣ ᱢᱮ ᱾,instruction,unverified
9,कृपया बोर्ड की ओर देखें।,kripya board ki or dekhen,ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱵᱚᱨᱰ ᱥᱮᱫ ᱠᱚᱭᱚᱜᱽ ᱯᱮ ᱾,instruction,unverified
10,सब अपनी सीट पर बैठिए।,sab apni seat par baithiye,ᱡᱚᱛᱚ ᱦᱚᱲ ᱟᱯᱮᱼᱟᱯᱮᱭᱟᱜ ᱢᱟᱹᱪᱤ ᱨᱮ ᱫᱩᱲᱩᱵ ᱯᱮ ᱾,instruction,unverified
11,इस सवाल को अपनी कॉपी में नोट करें।,is sawaal ko apni copy mein note karen,ᱱᱚᱣᱟ ᱠᱩᱠᱞᱤ ᱟᱯᱮᱭᱟᱜ ᱠᱷᱟᱛᱟ ᱨᱮ ᱚᱞ ᱯᱮ ᱾,instruction,unverified
12,कृपया एक-एक करके अपनी बात रखें।,kripya ek ek karke apni baat rakhen,ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱢᱤᱫᱼᱢᱤᱫ ᱛᱮ ᱟᱯᱮᱭᱟᱜ ᱠᱟᱛᱷᱟ ᱞᱟᱹᱭ ᱯᱮ ᱾,instruction,unverified
13,दूसरों की बात को ध्यान से सुनिए।,dusron ki baat ko dhyan se suniye,ᱮᱴᱟᱜ ᱦᱚᱲᱟᱜ ᱠᱟᱛᱷᱟ ᱫᱷᱮᱭᱟᱱ ᱛᱮ ᱟᱸᱡᱚᱢ ᱯᱮ ᱾,instruction,unverified
